ID	回复回合数	时间数
12054051:12056983 1 0.000000
12054692:12080875 1 0.283333
12055342:12079566 1 0.000000
12055675:12083590 1 0.466667
12056208:12079475 1 0.000000
12059036:12078617 1 0.000000
12060627:12066886 1 0.000000
12062113:12081621 1 0.000000
12062959:12074702 1 0.066667
12063053:12076174 1 0.150000
12063053:12076212 1 0.000000
12064436:12079665 1 0.966667
12066828:12080617 1 0.000000
12066874:12080284 1 0.000000
12066886:12074634 1 0.000000
12067038:12076247 1 0.133333
12067136:12080309 1 0.883333
12067141:12079171 1 0.000000
12067141:12083522 1 0.000000
12067179:12078661 1 551.783333
12067268:12083595 1 0.250000
12067405:12083297 1 0.000000
12068197:12078156 1 0.000000
12068412:12083266 1 0.000000
12068801:12080617 1 0.000000
12068957:12080617 1 0.000000
12068957:12084010 1 0.266667
12069536:12080518 1 569.983333
12069785:12082054 1 0.000000
12069957:12082195 1 0.000000
12070188:12083575 1 0.000000
12070809:12081187 1 0.233333
12071251:12078164 1 0.150000
12071470:12079393 1 0.000000
12072342:12080584 1 8.283333
12072701:12080217 1 0.050000
12072926:12080837 1 0.150000
12073041:12076343 1 0.083333
12073065:12076519 2 2519.983333
12073083:12082257 1 0.033333
12073541:12076190 1 0.333333
12073790:12080617 1 0.000000
12073991:12080583 1 0.000000
12074146:12075438 1 0.066667
12074185:12076527 1 0.000000
12074421:12075970 1 0.000000
12074425:12082370 1 0.000000
12074455:12076247 1 0.150000
12075007:12082618 1 0.550000
12075084:12075618 1 0.000000
12075261:12080079 1 25.533333
12076212:12080583 1 0.000000
12076575:12080210 1 0.000000
12076992:12081776 1 0.000000
12076992:12082904 1 0.000000
12077110:12081804 11 476.783333
12077116:12083707 1 0.000000
12078260:12081944 1 0.133333
12078336:12078806 1 0.000000
12078336:12081385 1 1.966667
12078508:12080583 1 0.333333
12078662:12083154 1 0.000000
12079289:12080717 1 0.000000
12079586:12084002 1 0.000000
12079797:12083763 1 0.000000
12079799:12080217 1 0.000000
12080133:12082618 1 0.200000
12080189:12082275 1 0.000000
12080228:12082231 19 841.066667
12080526:12082909 1 0.150000
12080590:12082161 1 2.533333
12081185:12082206 1 0.000000
12050131:12076368 1 0.000000
12050552:12078886 1 51.833333
