room_id	MAX(live_id)
643	1566508982016155
644	1566509311529507
645	1566509971487220
646	1566565641514010
647	1566511292513804
648	1566512113055334
649	1566667001681144
650	1566512417882964
651	1566512531600573
652	1566931713146142
653	1566512958910197
654	1566512922859500
655	1566512950660690
656	1566513863831923
657	1566514195585492
658	1566994859731109
659	1566514332514844
660	1566515502943136
661	1566516384559618
662	1566516212249492
663	1566516895822392
664	1566517188923938
665	1566517447074649
666	1566517921846586
667	1568047996702965
668	1567450969187169
669	1567993142616112
670	1566518867157725
671	1566518972275356
672	1566520328973519
673	1566520329097851
674	1566520337154389
675	1566520520533002
676	1566522190374321
677	1566521229613613
678	1566521453343359
679	1566521522307390
680	1566522550144527
681	1566522757699125
682	1566730841633631
683	1568097156899045
684	1566524227855829
685	1566524637830314
686	1566524879152783
687	1566525375264354
688	1566641355056621
689	1566526076762000
690	1566526322643101
691	1566526328391346
692	1566527010623740
693	1566527415231519
694	1566527997259187
695	1566528118347942
696	1566528133205363
697	1566528266069165
698	1566529039577312
699	1566530548095133
700	1566531522129797
701	1566531874849414
702	1566532555875316
703	1566533328790758
704	1566534246821272
705	1566535155471417
706	1566535225321860
707	1566537066726579
708	1566537108525709
709	1566537385455270
710	1566537458866668
711	1566537555889019
712	1567786295592092
713	1566538106047481
714	1567564418098114
715	1566538232309089
716	1566538623157500
717	1566538656627516
718	1566539213119076
719	1566540113228337
720	1566540139653442
721	1566542282578620
722	1566543267301473
723	1566543343381943
724	1566543580831080
725	1566616312558745
726	1566544253596215
727	1566544568701851
