ID	回复回合数	时间数
12030803:12109886 3 687.033333
12032516:12109496 0 0.000000
12033440:12110174 1 8.433333
12038246:12110654 0 0.000000
12030561:12105283 0 0.000000
12030561:12108827 0 0.000000
12030561:12109027 0 0.000000
12030561:12109834 0 0.000000
12030561:12109839 1 956.716667
12030561:12112217 1 0.633333
12030561:12112407 1 0.783333
12030562:12069066 1 405.716667
12030562:12109144 0 0.000000
12030562:12112406 7 35.733333
12030562:12112688 1 13.783333
12030564:12102897 0 0.000000
12030564:12105008 0 0.000000
12030564:12109319 2 6.816667
12030564:12109785 0 0.366667
12030566:12105288 0 0.000000
12030569:12090940 0 0.000000
12030569:12099635 1 0.833333
12030569:12112050 9 11.983333
12030569:12112086 1 16.216667
12030570:12104195 0 0.000000
12030570:12104639 0 0.000000
12030570:12105435 0 0.000000
12030572:12069066 1 405.233333
12030572:12106879 0 0.000000
12030572:12109777 14 1216.066667
12030572:12112406 14 18.216667
12030572:12112678 0 0.250000
12030575:12103178 0 0.000000
12030575:12104141 0 0.000000
12030575:12109820 1 2647.500000
12030575:12109981 1 13.916667
12030575:12112080 1 1.350000
12030577:12069066 1 398.666667
12030577:12104188 0 0.000000
12030577:12104954 0 0.000000
12030577:12109818 0 0.416667
12030577:12109823 0 0.000000
12030577:12110418 1 27.283333
12030577:12112391 1 3.816667
12030577:12112401 1 11.000000
12030580:12103173 0 0.000000
12030580:12104136 0 0.000000
12030580:12108803 0 0.000000
12030580:12109303 3 926.183333
12030580:12112080 1 4.883333
12030583:12109812 1 5.916667
12030583:12109973 1 19.850000
12030602:12112058 1 28.200000
12030641:12112019 1 3.766667
12030659:12091332 1 651.633333
12030668:12110327 1 9.516667
12030743:12065674 0 0.116667
12030745:12108961 0 1513.583333
12030753:12101419 11 11.450000
12030760:12108946 5 38.983333
12030762:12045198 1 39.833333
12030767:12103793 0 0.000000
12030767:12104954 0 151.816667
12030769:12107807 5 49.833333
12030772:12104800 0 0.000000
12030786:12063983 0 1537.650000
12030858:12040751 0 0.000000
12030561:12106726 1 751.583333
12030561:12109793 11 589.200000
12030561:12111776 7 12.316667
12030561:12112253 1 25.700000
12030561:12112376 8 20.800000
12030562:12043610 1 748.616667
12030562:12099329 0 0.000000
12030562:12109797 8 15.716667
12030562:12110120 8 14.800000
12030564:12099635 1 0.133333
12030564:12103179 0 0.000000
12030564:12103878 0 0.000000
12030564:12105485 0 0.000000
12030564:12108827 7 15.033333
12030564:12109826 1 16.750000
12030564:12109834 1 42.733333
12030564:12109990 1 20.466667
12030564:12112050 7 12.916667
12030564:12112086 1 11.916667
12030564:12112373 1 2.533333
12030564:12112419 8 12.033333
12030566:12070356 0 0.000000
12030566:12104158 0 0.000000
12030566:12104471 0 0.000000
12030566:12106726 0 0.000000
12030566:12109027 0 0.000000
12030566:12109475 0 0.000000
12030566:12109516 11 143.583333
12030566:12109793 11 230.500000
12030566:12109988 1 1.116667
12030566:12112361 1 2.033333
