ID	回复回合数	时间数
12030564:12109349 8 16.783333
12030564:12110124 1 0.300000
12030564:12110289 1 21.833333
12030564:12111886 8 89.466667
12030564:12111896 8 122.566667
12030564:12112220 5 9.200000
12030566:12090150 1 0.000000
12030566:12104639 1 0.000000
12030566:12110289 1 0.266667
12030566:12111884 9 11.366667
12030566:12111894 10 217.533333
12030566:12112218 9 12.800000
12030569:12101419 5 634.850000
12030569:12103545 1 0.000000
12030569:12105119 1 0.000000
12030569:12105442 1 0.000000
12030569:12109626 1 176.400000
12030569:12110284 1 0.000000
12030569:12110315 1 25.350000
12030569:12111922 1 65.600000
12030570:12105442 1 108.700000
12030570:12109319 2 6.150000
12030570:12110314 1 0.750000
12030570:12110925 4 85.583333
12030570:12112057 2 4.300000
12030572:12103994 1 0.000000
12030572:12104633 1 0.000000
12030572:12109023 10 25.166667
12030572:12109317 2 4.883333
12030572:12110312 8 14.400000
12030572:12111878 1 72.033333
12030572:12112055 5 38.066667
12030575:12064709 1 0.000000
12030575:12104787 1 0.000000
12030575:12104954 2 3968.450000
12030575:12109338 1 0.000000
12030575:12109797 9 13.366667
12030577:12103665 1 0.000000
12030577:12103696 1 0.000000
12030577:12104628 1 1.950000
12030577:12105435 1 0.000000
12030577:12108655 1 0.000000
12030577:12110276 1 0.200000
12030577:12112050 2 1.600000
12030580:12107401 2 1166.700000
12030580:12109302 1 0.000000
12030580:12109615 1 7.500000
12030580:12109941 1 0.000000
12030583:12109938 1 3.066667
12030583:12110105 1 2.516667
12030585:12109010 1 0.000000
12030585:12111236 11 101.483333
12030585:12111865 9 6.466667
12030585:12112042 2 4.650000
12030625:12109264 2 909.466667
12030625:12111835 2 1.966667
12030625:12112002 1 0.000000
12030659:12103614 1 0.000000
12030659:12109536 1 990.700000
12030659:12109713 1 10.366667
12030659:12110345 1 0.000000
12030667:12111824 1 145.200000
12030734:12104954 11 600.433333
12030741:12104947 1 0.166667
12030741:12111709 8 18.866667
12030760:12110095 2 582.916667
12030763:12109432 1 0.000000
12030764:12105414 1 0.000000
12030764:12109608 12 48.050000
12030771:12059654 1 49.033333
12030771:12105251 1 15.083333
12030773:12105239 1 0.000000
12030778:12102987 1 0.000000
12030785:12111842 10 3.950000
12030787:12102978 1 0.000000
12030802:12108279 12 79.200000
12030803:12106991 1 0.000000
12036524:12111766 1 2.600000
10000:12030662 1 1413.116667
10000:12030688 1 1423.350000
10000:12030822 1 1425.650000
10000:12030852 1 1417.400000
10000:12030980 1 1414.083333
10000:12031011 1 1415.250000
10000:12031145 1 1426.900000
10000:12031618 1 1416.566667
10000:12031654 1 1411.666667
10000:12031936 1 1416.450000
10000:12031941 1 1417.516667
10000:12031977 1 1412.950000
10000:12032111 1 1411.883333
10000:12032259 1 1423.283333
10000:12032270 1 1418.300000
10000:12032426 1 1414.333333
10000:12032434 1 1420.516667
10000:12032917 1 1405.516667
10000:12033402 1 1416.100000
10000:12033718 1 1414.550000
10000:12033878 1 1415.600000
10000:12033909 1 1412.850000
10000:12033914 1 1421.266667
10000:12034042 1 1415.266667
10000:12034191 1 1419.383333
10000:12034196 1 1407.983333
10000:12034201 1 1415.400000
10000:12034232 1 1408.883333
10000:12034237 1 1423.700000
10000:12034514 1 1412.116667
10000:12034524 1 1424.250000
10000:12034525 1 1423.616667
10000:12034689 1 1426.300000
10000:12034691 1 1409.466667
10000:12035013 1 1421.133333
10000:12035162 1 1408.950000
10000:12035174 1 1413.883333
10000:12035321 1 1411.650000
10000:12035485 1 1404.233333
10000:12035490 1 1406.650000
10000:12035650 1 1419.650000
10000:12035819 1 1409.283333
10000:12035973 1 1416.600000
10000:12036297 1 1426.400000
10000:12036446 1 1421.750000
10000:12036463 1 1421.800000
10000:12036780 1 1416.016667
10000:12036785 1 1410.300000
10000:12037262 1 1420.650000
10000:12037268 1 1411.250000
10000:12037453 1 1416.950000
10000:12037458 1 1403.216667
10000:12037576 1 1406.500000
10000:12037591 1 1413.566667
10000:12037740 1 1417.400000
10000:12037742 1 1409.833333
10000:12037745 1 1422.600000
10000:12037750 1 1415.366667
10000:12038074 1 1407.833333
10000:12038235 1 1402.916667
10000:12038552 1 1410.666667
10000:12038557 1 1413.333333
10000:12038718 1 1411.166667
10000:12038747 1 1410.766667
10000:12038865 1 1413.150000
10000:12038870 1 1414.483333
10000:12039034 1 1419.400000
10000:12039040 1 1419.416667
10000:12039065 1 1424.000000
10000:12039070 1 1424.666667
10000:12039363 1 1418.416667
10000:12039514 1 1412.033333
10000:12039517 1 1407.683333
10000:12039846 1 1416.583333
10000:12039877 1 1409.650000
10000:12040007 1 1429.350000
10000:12040164 1 1407.250000
10000:12040329 1 1414.633333
10000:12040490 1 1426.366667
12030561:12062593 1 3.216667
12030561:12110318 2 20.883333
12030561:12111566 1 0.150000
12030562:12104487 1 0.000000
12030562:12109315 8 14.400000
12030562:12109510 1 0.000000
12030562:12109803 1 0.000000
12030564:12103391 1 0.000000
12030564:12104680 1 0.000000
12030564:12109161 1 2008.633333
12030564:12110274 1 0.000000
12030564:12110315 1 0.183333
12030566:12074353 1 0.000000
12030566:12104647 1 0.000000
12030566:12109306 1 0.000000
12030566:12110282 1 0.166667
12030569:12103357 1 0.000000
12030569:12109156 1 0.533333
12030569:12109303 1 1319.833333
12030570:12055181 1 0.000000
12030570:12109302 5 9.000000
12030570:12112050 2 104.266667
12030572:12064686 1 0.000000
12030572:12091914 12 1830.500000
12030572:12103827 1 0.000000
12030572:12104472 1 0.000000
12030572:12108827 6 15.783333
12030572:12109793 1 0.333333
12030572:12110276 13 169.050000
12030575:12079979 1 0.000000
12030575:12102050 1 0.000000
12030575:12104669 1 0.000000
12030575:12110304 11 11.983333
12030577:12109295 9 42.950000
12030580:12090616 1 0.000000
12030580:12101896 12 171.600000
12030580:12109292 14 40.033333
12030580:12110263 1 11.600000
12030580:12111547 11 59.983333
12030583:12110296 1 0.000000
12030583:12111236 1 0.000000
12030625:12105539 1 0.000000
12030625:12111995 1 0.666667
12030667:12109205 6 9.283333
12030743:12104789 1 0.000000
12030748:12045804 4 48.866667
12030750:12108975 2 179.383333
12030753:12103656 1 0.000000
12030753:12110095 1 0.000000
12030759:12109606 9 8.283333
12030767:12110076 2 46.433333
12030769:12109303 15 1457.583333
12030771:12110067 8 14.650000
12030772:12056753 1 312.166667
12030772:12105556 1 0.000000
12030772:12110076 7 1462.233333
12030773:12102987 1 0.000000
12030778:12108947 2 34.966667
12030779:12105402 1 0.000000
12030784:12109093 8 638.816667
12030790:12108935 2 623.133333
12030791:12107807 1 0.416667
12030797:12108279 13 25.916667
12032806:12109362 1 1272.066667
12033864:12111494 1 0.000000
10000:12030645 1 1410.000000
10000:12030657 1 1417.150000
10000:12030686 1 1414.400000
10000:12030847 1 1407.733333
10000:12031305 1 1414.733333
10000:12031613 1 1416.250000
10000:12031623 1 1412.933333
10000:12031659 1 1419.350000
10000:12031788 1 1414.183333
10000:12031813 1 1416.166667
10000:12031934 1 1406.033333
10000:12031946 1 1427.733333
10000:12032136 1 1414.783333
10000:12032429 1 1408.400000
10000:12032594 1 1410.116667
10000:12032902 1 1423.600000
10000:12032907 1 1414.050000
10000:12032941 1 1423.016667
10000:12033077 1 1416.250000
10000:12033107 1 1408.300000
10000:12033225 1 1423.300000
10000:12033395 1 1412.683333
10000:12033400 1 1402.533333
10000:12033560 1 1430.733333
10000:12033723 1 1412.000000
10000:12033883 1 1423.500000
10000:12034189 1 1424.483333
10000:12034206 1 1416.133333
10000:12034366 1 1423.000000
10000:12034880 1 1425.250000
10000:12035157 1 1421.233333
10000:12035167 1 1413.233333
10000:12035198 1 1418.633333
10000:12035206 1 1405.083333
10000:12035332 1 1414.933333
10000:12035357 1 1410.883333
10000:12035362 1 1423.700000
10000:12035480 1 1416.966667
10000:12035495 1 1408.633333
10000:12035526 1 1416.883333
10000:12035978 1 1423.333333
10000:12036138 1 1402.983333
10000:12036169 1 1406.866667
10000:12036461 1 1414.883333
10000:12036487 1 1413.983333
10000:12036492 1 1422.500000
10000:12036769 1 1418.083333
10000:12036774 1 1412.816667
10000:12036939 1 1423.000000
10000:12037135 1 1415.816667
10000:12037422 1 1413.683333
10000:12037427 1 1422.433333
10000:12037776 1 1417.216667
10000:12037781 1 1406.316667
10000:12038233 1 1414.900000
10000:12038424 1 1424.283333
10000:12038550 1 1416.500000
10000:12038711 1 1407.516667
10000:12038716 1 1414.233333
10000:12038742 1 1416.283333
10000:12039024 1 1407.083333
10000:12039029 1 1404.216667
10000:12039035 1 1415.300000
10000:12039199 1 1413.050000
10000:12039523 1 1422.366667
10000:12039672 1 1414.266667
10000:12039831 1 1413.816667
10000:12039880 1 1423.383333
10000:12039990 1 1405.333333
10000:12039995 1 1415.983333
10000:12040005 1 1422.116667
10000:12040313 1 1418.833333
10000:12040324 1 1407.783333
10000:12040354 1 1406.800000
10000:12040488 1 1413.383333
12030561:12053079 2 331.350000
12030561:12067142 1 0.000000
12030561:12098843 12 17.633333
12030561:12102552 1 0.000000
12030561:12105649 1 138.550000
12030561:12108993 1 0.000000
12030562:12109187 2 1391.616667
12030562:12109515 2 1383.983333
12030562:12109808 1 0.150000
12030562:12111740 1 0.066667
12030564:12090150 1 0.000000
12030564:12109159 8 31.383333
12030564:12109467 1 0.000000
12030564:12110323 2 17.866667
12030564:12111286 1 0.000000
12030564:12111573 1 0.366667
12030564:12111763 2 1.516667
12030566:12098843 1 0.000000
12030566:12100770 1 0.000000
12030566:12104671 1 0.000000
12030566:12108993 1 0.000000
12030566:12109147 1 0.000000
12030566:12109476 8 2964.416667
12030569:12084500 2 11.200000
12030569:12088357 13 139.150000
12030569:12104156 1 0.000000
12030569:12105610 1 0.000000
12030569:12108214 2 4.733333
12030570:12103188 1 0.000000
12030570:12104155 1 0.000000
12030570:12109960 10 28.400000
12030570:12112055 8 24.183333
12030572:12082884 1 0.283333
12030572:12109177 1 1991.333333
12030572:12109475 1 0.000000
12030572:12109958 1 64.366667
12030572:12110315 10 13.066667
12030575:12103827 1 0.000000
12030575:12109148 10 32.216667
12030575:12110312 12 29.166667
12030575:12112050 8 106.866667
12030577:12104626 1 0.000000
12030577:12105597 1 0.000000
12030577:12109793 1 0.400000
12030577:12110310 10 39.950000
12030577:12111709 9 30.650000
12030580:12096239 1 0.000000
12030580:12103529 1 0.000000
12030580:12106722 9 20.833333
12030580:12109169 10 1493.066667
12030580:12109497 1 19.516667
12030580:12112045 1 3.033333
12030583:12103824 1 0.000000
12030585:12109446 1 0.600000
12030587:12109162 1 0.683333
12030587:12109460 1 6.366667
12030625:12109124 2 208.233333
12030625:12109905 4 27.483333
12030625:12111707 2 5.250000
12030668:12110693 1 0.000000
12030738:12108975 9 23.133333
12030743:12108975 1 0.000000
12030743:12109006 1 0.066667
12030748:12108975 1 0.000000
12030767:12103640 1 0.000000
12030767:12108946 12 2531.116667
12030772:12109259 1 0.166667
12030774:12108975 1 0.000000
12030775:12109755 1 0.000000
12030779:12108975 1 0.000000
12030803:12108946 9 24.883333
12036618:12111323 1 0.000000
12037721:12108957 1 0.000000
12038001:12109774 1 0.000000
12039114:12110147 1 0.000000
10000:12030806 1 1415.366667
10000:12030981 1 1418.416667
10000:12031464 1 1405.183333
10000:12031495 1 1425.916667
10000:12031611 1 1410.633333
10000:12031621 1 1413.100000
10000:12031628 1 1426.266667
10000:12031652 1 1414.583333
10000:12031662 1 1418.800000
10000:12031782 1 1423.583333
10000:12031818 1 1418.600000
10000:12032271 1 1411.616667
10000:12032461 1 1425.416667
10000:12032584 1 1405.550000
10000:12032587 1 1421.516667
10000:12032625 1 1412.933333
10000:12032753 1 1413.066667
10000:12032784 1 1418.433333
10000:12032900 1 1417.300000
10000:12032912 1 1409.083333
10000:12032951 1 1415.833333
10000:12033061 1 1414.933333
10000:12033102 1 1412.900000
10000:12033236 1 1427.600000
10000:12033750 1 1416.866667
10000:12033866 1 1414.883333
10000:12033873 1 1408.233333
10000:12033876 1 1407.616667
10000:12034043 1 1430.383333
10000:12034230 1 1428.366667
10000:12034389 1 1415.216667
10000:12034391 1 1416.950000
10000:12034684 1 1420.700000
10000:12034839 1 1416.283333
10000:12034849 1 1408.583333
10000:12035039 1 1416.533333
10000:12035165 1 1414.616667
10000:12035172 1 1407.150000
10000:12035478 1 1404.316667
10000:12035655 1 1416.200000
10000:12035815 1 1419.816667
10000:12036005 1 1425.150000
10000:12036128 1 1415.283333
10000:12036172 1 1421.266667
10000:12036295 1 1404.083333
10000:12036451 1 1418.450000
10000:12036454 1 1421.616667
10000:12036456 1 1411.000000
10000:12036485 1 1421.366667
10000:12036621 1 1413.633333
10000:12036646 1 1416.066667
