id	send_uid	recv_uid	cp_num	cp_cycle_day	created	updated
1871	12394063	12461399	297	2019-12-19	2019-12-20 07:06:50	2019-12-22 21:19:31
1872	12418108	12461399	99	2019-12-19	2019-12-20 07:08:45	2019-12-20 07:08:45
1874	10003	12385060	99	2019-12-19	2019-12-20 09:59:15	2019-12-20 09:59:15
1875	12385060	12459233	99	2019-12-19	2019-12-20 10:04:05	2019-12-20 10:04:05
1876	12401226	12459233	999	2019-12-19	2019-12-20 11:39:00	2019-12-20 11:39:00
1877	12466153	12467537	39	2019-12-19	2019-12-20 12:56:43	2019-12-20 12:56:43
1878	12370899	12466153	78	2019-12-19	2019-12-20 12:56:43	2019-12-20 15:33:28
1881	12464197	12466153	39	2019-12-19	2019-12-20 12:56:43	2019-12-20 12:56:43
1882	12352301	12466153	78	2019-12-19	2019-12-20 12:56:43	2019-12-20 15:33:28
1883	12466153	12467214	117	2019-12-19	2019-12-20 12:56:43	2019-12-23 16:57:53
1884	12466153	12466787	39	2019-12-19	2019-12-20 12:56:43	2019-12-20 12:56:43
1885	12446529	12466153	39	2019-12-19	2019-12-20 12:58:06	2019-12-20 12:58:06
1886	12460311	12467214	39	2019-12-19	2019-12-20 13:14:07	2019-12-20 13:14:07
1887	12460311	12466787	138	2019-12-19	2019-12-20 13:14:47	2019-12-20 21:48:37
1888	12352301	12466848	39	2019-12-19	2019-12-20 13:18:18	2019-12-20 13:18:18
1889	12459932	12467214	39	2019-12-19	2019-12-20 13:25:48	2019-12-20 13:25:48
1890	12397755	12459932	1665	2019-12-19	2019-12-20 13:38:45	2019-12-20 15:51:38
1891	12462656	12466071	39	2019-12-19	2019-12-20 13:39:33	2019-12-20 13:39:33
1892	12397755	12467214	135027	2019-12-19	2019-12-20 13:44:24	2019-12-25 23:58:09
1893	12463823	12467214	39	2019-12-19	2019-12-20 14:15:27	2019-12-20 14:15:27
1894	12459932	12463823	39	2019-12-19	2019-12-20 14:15:27	2019-12-20 14:15:27
1896	12458608	12463823	39	2019-12-19	2019-12-20 14:26:02	2019-12-20 14:26:02
1897	12463023	12463823	39	2019-12-19	2019-12-20 14:26:02	2019-12-20 14:26:02
1903	12463823	12467407	39	2019-12-19	2019-12-20 14:44:38	2019-12-20 14:44:38
1904	12462030	12463823	39	2019-12-19	2019-12-20 14:44:38	2019-12-20 14:44:38
1905	12397755	12404166	1275	2019-12-19	2019-12-20 14:51:41	2019-12-24 21:38:25
1909	12397755	12424850	549	2019-12-19	2019-12-20 14:53:15	2019-12-20 15:39:55
1910	12397755	12467237	273	2019-12-19	2019-12-20 14:53:15	2019-12-20 15:02:30
1912	12397755	12467187	273	2019-12-19	2019-12-20 14:53:15	2019-12-20 15:02:30
1913	12352301	12397755	333	2019-12-19	2019-12-20 14:53:15	2019-12-20 15:51:38
1915	12397755	12463277	138	2019-12-19	2019-12-20 14:53:15	2019-12-20 15:26:52
1916	12361563	12397755	471	2019-12-19	2019-12-20 14:53:15	2019-12-21 21:04:00
